"dev_os","OS Version","temp","title","timestamp","comp_bar","Roll","pos_tech","pos_acc","Make and Model","press","Pitch","editor","Azimuth","cam_vert","cam_hoz","pos_sat","id","Name","What is your name?","Have you seen a butterfly?","If you can, take a photo of the butterfly you have seen.","How many of this butterfly did you see?","Can you see any of these plants within 5 metres (a large room) around you? Tick all that you see.","What did the grasses look like?","Would you like to record more information that would be useful for scientists?","Any other comments?","What was the main colour of the butterfly?","Was it one of these?","What was the butterfly doing?","How would you describe the habitat/area around the butterfly/you? (football pitch area around you)","What kind of urban?","Are you next to a hedgerow?","What type of woodland?","What type of grassland?","What type of farmland?","Was it this butterfly?","geom"
"","5.0.2","","Penparcau Survey 2016 - V1-3","2016-06-21T15:32:13.076Z","","1.5911402717569547","","-1","MOTOROLA XT1068","","-19.739810191943377","a0ea0520-3574-4371-b9a3-6af8c208632a.json","84.51310663853182","","","","_dmkjbaef8","Penparcau Survey 2016 - V1-3-21-06-2016 16h32m06s","Chloe new path","No","<i>blank</i>","","Ivy,Dock or sorrel,Grasses",,"No","",,,,,,,,,,,"-4.076880872185977,52.39960689016425"
"","6.0","","Penparcau Survey 2016 - V1-3","2016-07-19T12:55:42.662Z","","3.3194360781330543","","11","MOTOROLA XT1068","","-11.181388501526055","a0ea0520-3574-4371-b9a3-6af8c208632a.json","29.203242192671144","","","","_ds1upjsba","Penparcau Survey 2016 - V1-3-19-07-2016 13h55m36s","CG","No","<i>blank</i>","","Nettle,Bird's foot trefoil,Thistle,Dock or sorrel,Grasses",,"No","",,,,,,,,,,,"-4.087094300000009,52.40296039999975"
"","5.0.2","","Penparcau Survey 2016 - V1-3","2016-06-09T10:11:28.428Z","","10.650265307703046","","-1","MOTOROLA XT1068","","-22.019179214212738","a0ea0520-3574-4371-b9a3-6af8c208632a.json","-77.1814313192784","","","","_o54tqcr6x","Penparcau Survey 2016 - V1-3-09-06-2016 11h11m14s","Chloe","Yes","<i>blank</i>","1","Nettle,Ivy,Thistle,Dock or sorrel,Grasses",,"Yes","","Brown","Speckled Wood","Flying","Grassland",,"Yes",,"Overgrown, lots of wild flowers, meadow",,,"-4.080099360853927,52.40567274089272"
"","6.0","","Penparcau Survey 2016 - V1-3","2016-07-19T11:56:59.556Z","","2.668634523116495","","9","MOTOROLA XT1068","","-15.720532440883305","a0ea0520-3574-4371-b9a3-6af8c208632a.json","-79.82821841511755","","","","_m8cgk4e9o","Penparcau Survey 2016 - V1-3-19-07-2016 12h56m53s","CG","No","<i>blank</i>","","Nettle,Dock or sorrel,Grasses",,"No","",,,,,,,,,,,"-4.082911300000001,52.399281599999824"
"","6.0","","Penparcau Survey 2016 - V1-3","2016-07-20T13:42:46.262Z","","-5.277405853252413","","-1","MOTOROLA XT1068","","-4.686646143351908","a0ea0520-3574-4371-b9a3-6af8c208632a.json","-126.1262868738338","","","","_8qcx3ascu","Penparcau Survey 2016 - V1-3-20-07-2016 14h42m36s","CG","No","<i>blank</i>","","Nettle,Ivy,Grasses",,"No","",,,,,,,,,,,"-4.070032687297083,52.403243616467016"
"","5.0.2","","Penparcau Survey 2016 - V1-3","2016-06-16T11:03:57.733Z","","-0.6282180147735885","","-1","MOTOROLA XT1068","","-23.25796891643066","a0ea0520-3574-4371-b9a3-6af8c208632a.json","-158.6201058878474","","","","_7n6pb89ht","Penparcau Survey 2016 - V1-3-16-06-2016 12h03m26s","Aline","Yes","<i>blank</i>","1","Nettle,Grasses",,"No","","Orange",,"Flying",,,,,,,,"-4.0783068645077964,52.401832444160064"
"","6.0","","Penparcau Survey 2016 - V1-3","2016-07-19T12:50:16.965Z","","2.5603008926909223","","12","MOTOROLA XT1068","","-8.65886645235153","a0ea0520-3574-4371-b9a3-6af8c208632a.json","-19.061908794177732","","","","_hyhdtmmsq","Penparcau Survey 2016 - V1-3-19-07-2016 13h50m11s","CG","No","<i>blank</i>","","Bird's foot trefoil,Grasses",,"No","",,,,,,,,,,,"-4.08684040000003,52.402489500000144"
"","6.0","","Penparcau Survey 2016 - V1-3","2016-07-19T12:29:58.878Z","","7.32819192277672","","12","MOTOROLA XT1068","","-18.142850492291863","a0ea0520-3574-4371-b9a3-6af8c208632a.json","-28.589857054258147","","","","_ljhw12tl5","Penparcau Survey 2016 - V1-3-19-07-2016 13h29m53s","CG","No","<i>blank</i>","","Nettle,Grasses",,"No","",,,,,,,,,,,"-4.084408400000037,52.4002178000001"
"","5.0.2","","Penparcau Survey 2016 - V1-3","2016-07-02T11:29:25.791Z","","-11.474643527314198","","-1","MOTOROLA XT1068","","-17.21918181271624","a0ea0520-3574-4371-b9a3-6af8c208632a.json","119.28197287261746","","","","_mm6u6py9k","Penparcau Survey 2016 - V1-3-02-07-2016 12h28m56s","Party yn y Parc","No","<i>blank</i>","","Nettle,Bird's foot trefoil,Thistle,Dock or sorrel,Grasses",,"Yes","Windy clouds some sun",,,,"Urban","Parks, playgrounds, allotments or community grasslands","No",,,,,"-4.071026884219214,52.400707560995016"
"","5.0.2","","Penparcau Survey 2016 - V1-3","2016-06-13T14:55:24.274Z","","4.862003566329169","","286.6669921875","MOTOROLA XT1068","","-17.11968473952937","a0ea0520-3574-4371-b9a3-6af8c208632a.json","132.05881160198845","","","","_4oudzpbh6","Penparcau Survey 2016 - V1-3-13-06-2016 15h54m44s","Eva","No","<i>blank</i>","","Bird's foot trefoil,Grasses",,"Yes","",,,,"Grassland",,"No",,"Overgrown, lots of wild flowers, meadow",,,"-4.0715924,52.40046289999999"
