"dev_os","temp","title","cam_vert","timestamp","id","comp_bar","pos_sat","pos_tech","pos_acc","Make and Model","cam_hoz","Azimuth","editor","Pitch","press","OS Version","Roll","Name","Tree type","Tree Species","Take photo","Grid reference","Other Known","geom"
"","","OBT Tree Survey","","2015-06-03T12:58:51.836Z","_onmka2ln4","","","","-1","MOTOROLA XT1068","","-53.176461688796365","35cf4469-162e-4f6d-8eae-ed886121088d.json","-37.16897421786061","","5.0.2","-4.562563377360756","hahn (12)","Coniferous","Douglas fir","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/hahn (12)/1433336317300.jpg'>","Xxxx",,"-3.8527810999999756,52.62131900000016"
"","","OBT Tree Survey","","2015-06-17T18:44:14.982Z","_x5n6r5ey0","","","","-1","MOTOROLA XT1068","","57.86814253534022","35cf4469-162e-4f6d-8eae-ed886121088d.json","-87.44748567956353","","5.0.2","2.602562047850142","Andy (32)","Deciduous","Oak","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (32)/1434566649790.jpg'>","",,"-4.0089374000000175,52.50609260000016"
"","","OBT Tree Survey","","2015-06-15T12:10:27.148Z","_jvxy3a3h4","","","","-1","MOTOROLA XT1068","","-37.5792124548845","35cf4469-162e-4f6d-8eae-ed886121088d.json","-31.805923341944936","","5.0.2","8.537549486087409","obt (42)","Deciduous","Oak","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (42)/1434370214411.jpg'>","Car park",,"-4.0254928,52.54753749999998"
"","","OBT Tree Survey","","2015-06-17T19:26:04.479Z","_a7jwxt37c","","","","-1","MOTOROLA XT1068","","146.28374605805053","35cf4469-162e-4f6d-8eae-ed886121088d.json","-77.94057269457946","","5.0.2","-178.34770028646022","Andy (39)","Deciduous",,"<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (39)/1434569158999.jpg'>","",,"-4.025332999999982,52.54750659999979"
"","","OBT Tree Survey","","2015-06-17T19:22:41.134Z","_ymnw32xxv","","","","-1","MOTOROLA XT1068","","-154.1996620985285","35cf4469-162e-4f6d-8eae-ed886121088d.json","-81.94933366186501","","5.0.2","-14.420773055039266","Andy (46)","Deciduous","Oak","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (46)/1434568956142.jpg'>","",,"-4.02702710000002,52.54910110000005"
"","","OBT Tree Survey","","2015-09-11T13:48:48.710Z","_kzwdvok8z","","","","-1","SAMSUNG SM-T230","",,"35cf4469-162e-4f6d-8eae-ed886121088d.json",,"","4.4.2",,"LOL DAY","Deciduous","Larch","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/LOL DAY/1441979320296.jpg'>","Placeholder","Type species name in here","-2.421976,53.825563999999986"
"","","OBT Tree Survey","","2015-06-17T19:29:15.166Z","_tnnoztjoy","","","","-1","MOTOROLA XT1068","","-150.63409844610675","35cf4469-162e-4f6d-8eae-ed886121088d.json","-88.03039451389994","","5.0.2","169.9920156860818","Andy (65)","Deciduous","Oak","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (65)/1434569350027.jpg'>","",,"-4.02551319999999,52.547538799999764"
"","","OBT Tree Survey","","2015-06-03T12:39:30.911Z","_qdm7x1qc5","","","","-1","MOTOROLA XT1068","","88.65375172850115","35cf4469-162e-4f6d-8eae-ed886121088d.json","-33.613249452938256","","5.0.2","24.285823594058368","Hahn (54)","Deciduous","Birch","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Hahn (54)/1433335161870.jpg'>","",,"-3.8519883999999864,52.62115130000002"
"","","OBT Tree Survey","","2015-06-23T12:48:50.726Z","_ym0fm4rfn","","","","-1","MOTOROLA XT1068","","-99.1818736170505","35cf4469-162e-4f6d-8eae-ed886121088d.json","-30.33981640641253","","5.0.2","15.39191667198836","glen (1)","Deciduous","Other","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/glen (1)/1435062631067.jpg'>","Placeholder 624 014","Type species name inh here Hawthorne","-4.03296610000004,52.59399460000008"
"","","OBT Tree Survey","","2015-06-03T12:44:00.822Z","_vtwlunxm5","","","","-1","MOTOROLA XT1068","","-104.04668268358125","35cf4469-162e-4f6d-8eae-ed886121088d.json","-51.834022158376214","","5.0.2","1.4365836562884384","Hahn (51)","Coniferous","Hazel","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Hahn (51)/1433335427802.jpg'>","",,"-3.8520337999999654,52.621071599999894"
"","","OBT Tree Survey","","2015-07-09T12:47:00.673Z","_4ic26vw7j","","","","-1","MOTOROLA XT1068","","-125.94236353986369","35cf4469-162e-4f6d-8eae-ed886121088d.json","-28.926407795421355","","5.0.2","14.48976138075098","the St Chris Simpsons ",,"Other","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/the St Chris Simpsons /1436445993806.jpg'>","Placeholder","Hawthorn","-4.047437300000034,52.73211860000012"
"","","OBT Tree Survey","","2015-07-08T17:50:55.036Z","_g4jbpct09","","","","-1","SAMSUNG SM-T230","",,"35cf4469-162e-4f6d-8eae-ed886121088d.json",,"","4.4.2",,"st Chris bonnington (6)","Coniferous","Sycamore","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/st Chris bonnington (6)/1436377846394.jpg'>","Placeholder","Type species name in here","-2.421975999999996,53.8255639999999"
"","","OBT Tree Survey","","2015-05-30T14:25:11.437Z","_bcilnj9io","","","","-1","MOTOROLA XT1068","","-97.61108720229848","35cf4469-162e-4f6d-8eae-ed886121088d.json","-55.74160411839177","","5.0.2","-1.6785167473748122","Hahn (1)","Coniferous","Douglas fir","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Hahn (1)/1432995902773.jpg'>","Xxxx",,"-3.8526887999999704,52.62098299999992"
"","","OBT Tree Survey","","2015-06-02T14:19:13.510Z","_cyieg085o","","","","-1","MOTOROLA XT1068","","88.3141342324006","35cf4469-162e-4f6d-8eae-ed886121088d.json","-49.21723325337176","","5.0.2","17.431933667625675","BMS tenzing (2)","Deciduous","Birch","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/BMS tenzing (2)/1433254731092.jpg'>","",,"-4.0723072,52.60149650000002"
"","","OBT Tree Survey","","2015-05-30T14:18:09.290Z","_whtoun4rv","","","","-1","MOTOROLA XT1068","","-38.282858543179216","35cf4469-162e-4f6d-8eae-ed886121088d.json","-12.292391340788559","","5.0.2","7.409437876727669","Hahn (7)","Deciduous","Oak","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Hahn (7)/1432995469167.jpg'>","Xxxx",,"-3.85217730000004,52.6208974"
"","","OBT Tree Survey","","2015-05-30T10:27:12.090Z","_tj5ey279v","","","","-1","MOTOROLA XT1068","","-100.50369963655555","35cf4469-162e-4f6d-8eae-ed886121088d.json","-26.1292933585921","","5.0.2","8.183335021956902","obt (8)","Coniferous","Sitka spruce","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (8)/1432981604640.jpg'>","681963",,"-3.9487493508374993,52.54830896041128"
"","","OBT Tree Survey","","2015-06-17T18:49:06.788Z","_mbzkgwiml","","","","-1","MOTOROLA XT1068","","76.74881396743896","35cf4469-162e-4f6d-8eae-ed886121088d.json","-87.9911345865507","","5.0.2","-83.29016126764104","Andy (27)","Deciduous","Oak","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (27)/1434566942418.jpg'>","",,"-4.021472699999973,52.5480929000001"
"","","OBT Tree Survey","","2015-06-24T10:34:47.757Z","_nbiyqpe0l","","","","-1","MOTOROLA XT1068","","169.30235782520725","35cf4469-162e-4f6d-8eae-ed886121088d.json","-6.014981333135988","","5.0.2","16.84380827631068","obt (74)","Deciduous","Birch","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (74)/1435142062340.jpg'>","Placeholder","Type species name in here","-3.788637800000021,52.689816899999755"
"","","OBT Tree Survey","","2015-09-11T12:34:16.425Z","_27hy4tff7","","","","-1","MOTOROLA XT1068","","-66.37667310896519","35cf4469-162e-4f6d-8eae-ed886121088d.json","-22.000177627941763","","5.0.2","8.841813923043969","xxx","Coniferous","Hazel","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/xxx/1441974616683.jpg'>","Placeholder","Xxxx","-2.421976,53.82556399999999"
"","","OBT Tree Survey","","2016-01-28T18:24:26.220Z","_xeepn8axq","","","","-1","MOTOROLA XT1068","","-173.45111034972138","35cf4469-162e-4f6d-8eae-ed886121088d.json","-28.960411892204267","","4.4.4","-6.5024254672167645","test (91)","Coniferous","Birch","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/test (91)/1454005452310.jpg'>","Oooo","Tycccpe species name in here","-3.957845400000001,52.64395789999998"
