dev_os;temp;title;cam_vert;timestamp;id;comp_bar;pos_sat;pos_tech;pos_acc;Make and Model;cam_hoz;Azimuth;editor;Pitch;press;OS Version;Roll;Name;Tree type;Tree Species;Take photo;Grid reference;Other Known;geom
;;OBT Tree Survey;;2015-06-17T19:22:41.134Z;_ymnw32xxv;;;;-1;MOTOROLA XT1068;;-1.541.996.620.985.280;35cf4469-162e-4f6d-8eae-ed886121088d.json;-8.194.933.366.186.500;;5.0.2;-14.420.773.055.039.200;Andy (49);Deciduous;Oak;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (49)/1434568956142.jpg'>;;;-4.02702710000002,52.54910110000005
;;OBT Tree Survey;;2015-06-17T19:23:10.230Z;_mkt7c47f0;;;;-1;MOTOROLA XT1068;;-164.581.071.523.706;35cf4469-162e-4f6d-8eae-ed886121088d.json;-8.225.445.187.246.780;;5.0.2;-17.102.728.794.914.800;Andy (43);Deciduous;;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (43)/1434568985778.jpg'>;;;-4.026778299999959,52.54891760000019
;;OBT Tree Survey;;2015-06-17T19:23:10.230Z;_mkt7c47f0;;;;-1;MOTOROLA XT1068;;-164.581.071.523.706;35cf4469-162e-4f6d-8eae-ed886121088d.json;-8.225.445.187.246.780;;5.0.2;-17.102.728.794.914.800;Andy (47);Deciduous;;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (47)/1434568985778.jpg'>;;;-4.026778299999959,52.54891760000019
;;OBT Tree Survey;;2015-06-17T19:23:42.233Z;_l0jv661za;;;;-1;MOTOROLA XT1068;;15.354.896.363.667.900;35cf4469-162e-4f6d-8eae-ed886121088d.json;-8.558.291.916.823.090;;5.0.2;-21.801.408.877.810.600;Andy (45);Deciduous;Hazel;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (45)/1434569017493.jpg'>;;;-4.026690199999994,52.548876300000224
;;OBT Tree Survey;;2015-06-17T19:23:42.233Z;_l0jv661za;;;;-1;MOTOROLA XT1068;;15.354.896.363.667.900;35cf4469-162e-4f6d-8eae-ed886121088d.json;-8.558.291.916.823.090;;5.0.2;-21.801.408.877.810.600;Andy (41);Deciduous;Hazel;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (41)/1434569017493.jpg'>;;;-4.026690199999994,52.548876300000224
;;OBT Tree Survey;;2015-06-17T19:24:04.212Z;_js5ne264z;;;;-1;MOTOROLA XT1068;;-16.337.472.351.249.800;35cf4469-162e-4f6d-8eae-ed886121088d.json;-8.244.976.113.178.430;;5.0.2;519.442.887.323.369;Andy (44);Deciduous;Oak;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (44)/1434569039641.jpg'>;;;-4.026509900000036,52.54884340000004
;;OBT Tree Survey;;2015-06-17T19:24:04.212Z;_js5ne264z;;;;-1;MOTOROLA XT1068;;-16.337.472.351.249.800;35cf4469-162e-4f6d-8eae-ed886121088d.json;-8.244.976.113.178.430;;5.0.2;519.442.887.323.369;Andy (36);Deciduous;Oak;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (36)/1434569039641.jpg'>;;;-4.026509900000036,52.54884340000004
;;OBT Tree Survey;;2015-06-17T19:24:49.333Z;_l77719y9r;;;;-1;MOTOROLA XT1068;;-17.890.722.938.326.700;35cf4469-162e-4f6d-8eae-ed886121088d.json;-8.538.008.987.063.820;;5.0.2;-531.301.017.798.049;Andy (35);Deciduous;;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (35)/1434569084129.jpg'>;;;-4.015459100000043,52.50604729999978
;;OBT Tree Survey;;2015-06-17T19:24:49.333Z;_l77719y9r;;;;-1;MOTOROLA XT1068;;-17.890.722.938.326.700;35cf4469-162e-4f6d-8eae-ed886121088d.json;-8.538.008.987.063.820;;5.0.2;-531.301.017.798.049;Andy (42);Deciduous;;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (42)/1434569084129.jpg'>;;;-4.015459100000043,52.50604729999978
;;OBT Tree Survey;;2015-06-17T19:25:28.441Z;_mksiwm1mc;;;;-1;MOTOROLA XT1068;;1.453.629.272.749.060;35cf4469-162e-4f6d-8eae-ed886121088d.json;-8.489.665.591.137.380;;5.0.2;-861.859.224.191.055;Andy (34);Deciduous;Oak;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (34)/1434569122739.jpg'>;;;-4.0253334000000125,52.54750579999997
;;OBT Tree Survey;;2015-06-17T19:25:28.441Z;_mksiwm1mc;;;;-1;MOTOROLA XT1068;;1.453.629.272.749.060;35cf4469-162e-4f6d-8eae-ed886121088d.json;-8.489.665.591.137.380;;5.0.2;-861.859.224.191.055;Andy (40);Deciduous;Oak;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (40)/1434569122739.jpg'>;;;-4.0253334000000125,52.54750579999997
